time,U
2001.4753,24.93
2001.4781,17.63
2001.4808,20.43
2001.4836,21.93
2001.4863,20.43
2001.489,24.03
2001.4918,18.13
2001.4945,20.93
2001.4973,21.03
2001.5,18.93
2001.5027,21.43
2001.5055,21.63
2001.5082,28.43
2001.511,29.53
2001.5137,24.73
2001.5164,24.83
2001.5192,31.63
2001.5219,28.63
2001.5247,22.73
2001.5274,22.83
2001.5301,21.63
2001.5329,22.93
2001.5356,23.83
2001.5384,23.23
2001.5411,25.13
2001.5438,25.13
2001.5466,23.13
2001.5493,23.73
2001.5521,19.93
2001.5548,21.93
2001.5575,24.43
2001.5603,21.73
2001.563,26.33
2001.5658,21.73
2001.5685,23.53
2001.5712,23.43
2001.574,25.03
2001.5767,24.03
2001.5795,23.03
2001.5822,22.73
2001.5849,25.63
2001.5877,25.33
2001.5904,24.13
2001.5932,28.53
2001.5959,21.33
2001.5986,22.33
2001.6014,25.63
2001.6041,22.43
2001.6068,22.63
2001.6096,23.13
2001.6123,25.33
2001.6151,25.23
2001.6178,25.93
2001.6205,30.63
2001.6233,29.53
2001.626,26.13
2001.6288,25.83
2001.6315,28.03
2001.6342,26.63
2001.637,23.63
2001.6397,20.33
2001.6425,29.83
2001.6452,27.03
2001.6479,21.43
2001.6507,26.83
2001.6534,27.53
2001.6562,27.63
2001.6589,23.23
2001.6616,24.83
2001.6644,27.53
2001.6671,30.23
2001.6699,25.83
2001.6726,25.43
2001.6753,27.13
2001.6781,22.83
2001.6808,26.73
2001.6836,23.13
2001.6863,24.83
2001.689,26.73
2001.6918,21.43
2001.6945,16.03
2001.6973,19.43
2001.7,19.73
2001.7027,21.63
2001.7055,21.33
2001.7082,21.33
2001.711,18.73
2001.7137,14.43
2001.7164,17.13
2001.7192,17.53
2001.7219,20.83
2001.7247,18.23
2001.7274,20.73
2001.7301,19.53
2001.7329,22.43
2001.7356,22.63
2001.7384,27.03
2001.7411,25.73
2001.7438,20.33
2001.7466,25.53
2001.7493,29.53
2001.7521,35.03
2001.7548,31.93
2001.7575,28.13
2001.7603,25.33
2001.763,28.63
2001.7658,26.33
2001.7685,26.13
2001.7712,23.23
2001.774,23.83
2001.7767,26.73
2001.7795,22.23
2001.7822,20.43
2001.7849,17.63
2001.7877,20.03
2001.7904,21.43
2001.7932,19.63
2001.7959,20.23
2001.7986,24.33
2001.8014,24.03
2001.8041,28.33
2001.8068,25.63
2001.8096,22.03
2001.8123,20.13
2001.8151,19.83
2001.8178,29.03
2001.8205,25.63
2001.8233,28.73
2001.826,30.93
2001.8288,29.73
2001.8315,28.83
2001.8342,22.73
2001.837,24.03
2001.8397,23.53
2001.8425,22.63
2001.8452,21.83
2001.8479,25.33
2001.8507,24.93
2001.8534,19.03
2001.8562,17.63
2001.8589,24.53
2001.8616,26.03
2001.8644,23.13
2001.8671,16.83
2001.8699,12.53
2001.8726,22.13
2001.8753,19.13
2001.8781,22.43
2001.8808,24.83
2001.8836,16.93
2001.8863,12.63
2001.889,18.13
2001.8918,24.43
2001.8945,21.93
2001.8973,21.23
2001.9,21.43
2001.9027,21.53
2001.9055,17.13
2001.9082,14.13
2001.911,15.13
2001.9137,14.13
2001.9164,17.43
2001.9192,17.33
2001.9219,13.33
2001.9247,16.73
2001.9274,18.73
2001.9301,12.83
2001.9329,9.93
2001.9356,14.63
2001.9384,13.33
2001.9411,12.73
2001.9438,10.73
2001.9466,8.23
2001.9493,11.23
2001.9521,10.53
2001.9548,12.03
2001.9575,12.53
2001.9603,17.93
2001.963,18.03
2001.9658,22.93
2001.9685,22.83
2001.9712,26.93
2001.974,22.03
2001.9767,21.53
2001.9795,27.53
2001.9822,30.93
2001.9849,23.83
2001.9877,16.23
2001.9904,18.23
2001.9932,22.13
2001.9959,19.33
2001.9986,18.93
2002.0014,17.13
2002.0041,9.43
2002.0068,9.83
2002.0096,10.83
2002.0123,18.03
2002.0151,15.63
2002.0178,16.23
2002.0205,19.13
2002.0233,14.53
2002.026,18.33
2002.0288,18.53
2002.0315,15.13
2002.0342,18.83
2002.037,20.73
2002.0397,23.03
2002.0425,21.93
2002.0452,18.23
2002.0479,20.53
2002.0507,19.93
2002.0534,23.73
2002.0562,24.83
2002.0589,25.53
2002.0616,25.63
2002.0644,24.43
2002.0671,24.03
