sampling,period,time
45051.5,1360.6787,1982.2259
45052.5,1360.6517,1982.2286
45053.5,1360.6255,1982.2313
45054.5,1360.6272,1982.2341
45055.5,1360.7713,1982.2368
45056.5,1360.9105,1982.2396
45057.5,1361.1128,1982.2423
45058.5,1361.3635,1982.245
45059.5,1361.7033,1982.2478
45060.5,1361.9125,1982.2505
45061.5,1362.0013,1982.2533
45062.5,1361.8999,1982.256
45063.5,1361.8236,1982.2587
45064.5,1361.7612,1982.2615
45065.5,1361.8277,1982.2642
45066.5,1361.8325,1982.2669
45067.5,1361.6887,1982.2697
45068.5,1361.4798,1982.2724
45069.5,1361.247,1982.2752
45070.5,1361.1262,1982.2779
45071.5,1361.0984,1982.2806
45072.5,1361.0716,1982.2834
45073.5,1361.2222,1982.2861
45074.5,1361.2767,1982.2888
45075.5,1361.2971,1982.2916
45076.5,1361.313,1982.2943
45077.5,1361.2456,1982.2971
45078.5,1361.2204,1982.2998
45079.5,1361.2073,1982.3025
45080.5,1361.1972,1982.3053
45081.5,1361.0045,1982.308
45082.5,1360.9149,1982.3107
45083.5,1360.9303,1982.3135
45084.5,1361.1682,1982.3162
45085.5,1361.5058,1982.319
45086.5,1361.6985,1982.3217
45087.5,1361.9029,1982.3244
45088.5,1361.8152,1982.3272
45089.5,1361.7057,1982.3299
45090.5,1361.6367,1982.3326
45091.5,1361.556,1982.3354
45092.5,1361.5134,1982.3381
45093.5,1361.4433,1982.3409
45094.5,1361.3577,1982.3436
45095.5,1361.2777,1982.3463
45096.5,1361.3009,1982.3491
45097.5,1361.3859,1982.3518
45098.5,1361.3688,1982.3546
45099.5,1361.4981,1982.3573
45100.5,1361.5855,1982.36
45101.5,1361.5294,1982.3628
45102.5,1361.4001,1982.3655
45103.5,1361.2771,1982.3682
45104.5,1361.2016,1982.371
45105.5,1361.1669,1982.3737
45106.5,1361.1666,1982.3765
45107.5,1361.2162,1982.3792
45108.5,1361.2384,1982.3819
45109.5,1361.2529,1982.3847
45110.5,1361.3561,1982.3874
45111.5,1361.4648,1982.3901
45112.5,1361.5927,1982.3929
45113.5,1361.6897,1982.3956
45114.5,1361.6056,1982.3984
45115.5,1361.5428,1982.4011
