time,value
1914.2083,7018
1914.2917,6811
1914.375,6799
1914.4583,6842
1914.5417,6895
1914.625,6758
1914.7083,6967
1914.7917,6753
1914.875,6886
1914.9583,6940
1915.0417,7025
1915.125,6744
1915.2083,6805
1915.2917,6735
1915.375,6721
1915.4583,6742
1915.5417,6861
1915.625,6861
1915.7083,6777
1915.7917,6648
1915.875,6886
1915.9583,6948
1916.0417,7113
1916.125,6896
1916.2083,6841
1916.2917,6847
1916.375,6768
1916.4583,6879
1916.5417,6787
1916.625,6850
1916.7083,6836
1916.7917,6866
1916.875,6787
1916.9583,6902
1917.0417,6804
1917.125,6616
1917.2083,6694
1917.2917,6773
1917.375,6676
1917.4583,6736
1917.5417,6767
1917.625,6827
1917.7083,6813
1917.7917,7066
1917.875,6992
1917.9583,6882
1918.0417,6966
1918.125,6773
1918.2083,6616
1918.2917,6736
1918.375,6712
1918.4583,6818
1918.5417,6847
1918.625,6811
1918.7083,6953
1918.7917,6791
1918.875,6695
1918.9583,6954
1919.0417,6770
1919.125,6714
1919.2083,6812
1919.2917,6834
1919.375,6660
1919.4583,6862
1919.5417,6839
1919.625,6849
1919.7083,6833
1919.7917,6826
1919.875,6813
1919.9583,7004
1920.0417,7080
1920.125,6858
1920.2083,6742
1920.2917,6804
1920.375,6701
1920.4583,6755
1920.5417,6803
1920.625,6817
1920.7083,6770
1920.7917,6604
1920.875,6619
1920.9583,6684
1921.0417,6982
1921.125,6647
1921.2083,6692
1921.2917,6620
1921.375,6607
1921.4583,6725
1921.5417,6689
1921.625,6739
1921.7083,6699
1921.7917,6820
1921.875,6728
1921.9583,6860
1922.0417,6707
1922.125,6651
1922.2083,6728
1922.2917,6754
1922.375,6745
1922.4583,6754
1922.5417,6777
1922.625,6777
1922.7083,6857
1922.7917,6721
1922.875,6937
1922.9583,6912
1923.0417,6868
1923.125,6680
1923.2083,6663
1923.2917,6639
1923.375,6740
1923.4583,6801
1923.5417,6767
1923.625,6831
1923.7083,6756
1923.7917,6964
1923.875,6924
1923.9583,6859
1924.0417,6739
1924.125,6777
1924.2083,6726
1924.2917,6760
1924.375,6833
1924.4583,6780
1924.5417,6823
1924.625,6865
1924.7083,6910
1924.7917,6819
1924.875,6833
1924.9583,6745
1925.0417,6837
1925.125,6823
1925.2083,6732
1925.2917,6710
1925.375,6719
1925.4583,6779
1925.5417,6733
1925.625,6776
1925.7083,6945
1925.7917,6872
1925.875,6907
1925.9583,7040
1926.0417,6913
1926.125,6859
1926.2083,6877
1926.2917,6751
1926.375,6777
1926.4583,6857
1926.5417,6883
1926.625,6880
1926.7083,6847
1926.7917,6889
1926.875,6829
1926.9583,6835
1927.0417,6817
1927.125,6698
1927.2083,6791
1927.2917,6903
1927.375,6766
1927.4583,6847
1927.5417,6819
1927.625,6870
1927.7083,6943
1927.7917,6865
1927.875,6810
1927.9583,6626
1928.0417,6853
1928.125,6865
1928.2083,6586
1928.2917,6737
1928.375,6728
1928.4583,6814
1928.5417,6780
1928.625,6773
1928.7083,6730
1928.7917,6825
1928.875,7077
1928.9583,6843
1929.0417,6678
1929.125,6449
1929.2083,6631
1929.2917,6727
1929.375,6632
1929.4583,6786
1929.5417,6767
1929.625,6780
1929.7083,6827
1929.7917,6917
1929.875,6808
1929.9583,6919
1930.0417,6834
1930.125,6561
1930.2083,6693
1930.2917,6707
1930.375,6743
1930.4583,6706
1930.5417,6889
1930.625,6874
1930.7083,6824
1930.7917,7004
1930.875,7125
1930.9583,6777
1931.0417,7003
1931.125,6775
1931.2083,6728
1931.2917,6780
1931.375,6770
1931.4583,6772
1931.5417,6909
1931.625,6875
1931.7083,6879
1931.7917,6915
1931.875,6735
1931.9583,6872
1932.0417,6838
1932.125,6589
1932.2083,6610
1932.2917,6826
1932.375,6801
1932.4583,6744
1932.5417,6854
1932.625,6774
1932.7083,6857
1932.7917,6997
1932.875,6839
1932.9583,6691
1933.0417,6625
1933.125,6753
1933.2083,6691
1933.2917,6655
1933.375,6730
1933.4583,6801
1933.5417,6783
1933.625,6792
1933.7083,6723
1933.7917,6871
1933.875,6769
1933.9583,6543
1934.0417,6730
1934.125,6707
1934.2083,6685
1934.2917,6637
1934.375,6680
1934.4583,6702
1934.5417,6736
1934.625,6791
1934.7083,6779
1934.7917,6937
1934.875,6751
1934.9583,6750
1935.0417,6815
1935.125,6976
1935.2083,6648
1935.2917,6841
1935.375,6675
1935.4583,6747
1935.5417,6804
1935.625,6730
1935.7083,6900
1935.7917,6918
1935.875,6786
1935.9583,6859
1936.0417,6977
1936.125,6797
1936.2083,6645
1936.2917,6798
1936.375,6669
1936.4583,6744
1936.5417,6842
1936.625,6783
1936.7083,6784
1936.7917,7006
1936.875,6846
1936.9583,6922
1937.0417,6682
1937.125,7054
1937.2083,6862
1937.2917,6867
1937.375,6790
1937.4583,6809
1937.5417,6841
1937.625,6781
1937.7083,6880
1937.7917,6765
1937.875,6871
1937.9583,6748
1938.0417,6961
1938.125,6777
1938.2083,6789
1938.2917,6764
1938.375,6697
1938.4583,6774
1938.5417,6754
1938.625,6801
1938.7083,6771
1938.7917,6871
1938.875,6851
1938.9583,6647
1939.0417,6845
1939.125,6755
1939.2083,6809
1939.2917,6818
1939.375,6727
1939.4583,6761
1939.5417,6801
1939.625,6790
1939.7083,6837
1939.7917,6803
1939.875,6985
1939.9583,6885
1940.0417,6625
1940.125,6685
1940.2083,6911
1940.2917,6824
1940.375,6759
1940.4583,6763
1940.5417,6825
1940.625,6920
1940.7083,6937
1940.7917,6763
1940.875,7043
1940.9583,6839
1941.0417,6651
1941.125,6819
1941.2083,6737
1941.2917,6667
1941.375,6717
1941.4583,6806
1941.5417,6814
1941.625,6935
1941.7083,6763
1941.7917,6993
1941.875,6740
1941.9583,6955
1942.0417,6537
1942.125,6588
1942.2083,6649
1942.2917,6643
1942.375,6743
1942.4583,6773
1942.5417,6863
1942.625,6773
1942.7083,6857
1942.7917,6970
1942.875,6919
1942.9583,6931
1943.0417,6785
1943.125,6897
1943.2083,6677
1943.2917,6887
1943.375,6697
1943.4583,6757
1943.5417,6797
1943.625,6863
1943.7083,6779
1943.7917,6787
1943.875,6937
1943.9583,6758
1944.0417,6943
1944.125,6817
1944.2083,6839
1944.2917,6728
1944.375,6741
1944.4583,6829
1944.5417,6783
1944.625,6755
1944.7083,6847
1944.7917,6798
1944.875,7049
1944.9583,6923
1945.0417,6856
1945.125,6886
1945.2083,6789
1945.2917,6814
1945.375,6825
1945.4583,6802
1945.5417,6833
1945.625,6914
1945.7083,6856
1945.7917,6865
1945.875,6883
1945.9583,6907
1946.0417,6817
1946.125,7135
1946.2083,6779
1946.2917,6796
1946.375,6773
1946.4583,6887
1946.5417,6835
1946.625,6908
1946.7083,6923
1946.7917,6809
1946.875,6854
1946.9583,6723
1947.0417,6573
1947.125,6541
1947.2083,6915
1947.2917,6823
1947.375,6645
1947.4583,6791
1947.5417,6779
1947.625,6697
1947.7083,6823
1947.7917,6676
1947.875,7057
1947.9583,6914
1948.0417,7025
1948.125,6794
1948.2083,6724
1948.2917,6782
1948.375,6715
1948.4583,6827
1948.5417,6943
1948.625,6937
1948.7083,6963
1948.7917,6895
1948.875,6807
1948.9583,6791
1949.0417,6882
1949.125,6834
1949.2083,6729
1949.2917,6852
1949.375,6743
1949.4583,6772
1949.5417,6785
1949.625,6837
1949.7083,6821
1949.7917,6889
1949.875,6853
1949.9583,6999
1950.0417,6743
1950.125,6957
1950.2083,6753
1950.2917,6935
1950.375,6765
1950.4583,6829
