time,value
1926.625,6865
1926.7083,6853
1926.7917,6965
1926.875,6775
1926.9583,6901
1927.0417,6839
1927.125,6643
1927.2083,6725
1927.2917,6931
1927.375,6761
1927.4583,6783
1927.5417,6769
1927.625,6845
1927.7083,6894
1927.7917,6907
1927.875,6709
1927.9583,6546
1928.0417,6861
1928.125,6809
1928.2917,6659
1928.375,6687
1928.4583,6825
1928.5417,6826
1928.625,6832
1928.7083,6793
1928.7917,6851
1928.9583,6783
1929.0417,6614
1929.2083,6684
1929.2917,6720
1929.375,6637
1929.4583,6817
1929.5417,6759
1929.625,6779
1929.7083,6871
1929.7917,6988
1929.875,6842
1929.9583,6952
1930.0417,6836
1930.2083,6664
1930.2917,6605
1930.375,6687
1930.4583,6675
1930.5417,6847
1930.625,6865
1930.7083,6787
1930.7917,6986
1931.0417,6973
1931.125,6657
1931.2083,6631
1931.2917,6691
1931.375,6695
1931.4583,6741
1931.5417,6895
1931.625,6838
1931.7083,6866
1931.7917,6985
1931.875,6705
1931.9583,6979
1932.0417,6875
1932.125,6636
1932.2083,6637
1932.2917,6802
1932.375,6757
1932.4583,6747
1932.5417,6827
1932.625,6751
1932.7083,6923
1932.7917,6975
1932.875,6809
1932.9583,6718
1933.0417,6669
1933.125,6794
1933.2083,6671
1933.2917,6727
1933.375,6733
1933.4583,6793
1933.5417,6797
1933.625,6838
1933.7083,6734
1933.7917,6879
1933.875,6719
1933.9583,6573
1934.0417,6799
1934.125,6833
1934.2083,6660
1934.2917,6574
1934.375,6717
1934.4583,6718
1934.5417,6790
1934.625,6781
1934.7083,6780
1934.7917,7058
1934.875,6785
1934.9583,6699
1935.0417,6822
1935.125,7021
1935.2917,6787
1935.375,6600
1935.4583,6711
1935.5417,6901
1935.625,6720
1935.7083,6977
1935.7917,7041
1935.875,6765
1935.9583,6817
1936.0417,6937
1936.125,6741
1936.2083,6619
1936.2917,6838
1936.375,6634
1936.4583,6729
1936.5417,6817
1936.625,6800
1936.7083,6752
1936.7917,7057
1936.875,6787
1936.9583,6977
1937.2083,6700
1937.2917,6763
1937.375,6713
1937.4583,6832
1937.5417,6866
1937.625,6793
1937.7083,6891
1937.7917,6740
1937.875,6870
1937.9583,6692
1938.0417,7002
1938.125,6749
1938.2083,6841
1938.2917,6849
1938.375,6700
1938.4583,6823
1938.5417,6736
1938.625,6795
1938.7083,6753
1938.7917,7016
1938.875,6962
1939.0417,6804
1939.125,6800
1939.2083,6763
1939.2917,6790
1939.375,6646
1939.4583,6733
1939.5417,6784
1939.625,6738
1939.7083,6774
1939.7917,6584
1939.875,6903
1939.9583,6749
1940.0417,6522
1940.2083,6856
1940.2917,6721
1940.375,6717
1940.4583,6723
1940.5417,6808
1940.625,6956
1940.7083,6964
1940.7917,6685
1940.9583,6782
1941.125,6698
1941.2083,6691
1941.2917,6562
1941.375,6638
1941.4583,6720
1941.5417,6736
1941.625,6894
1941.7083,6731
1941.7917,6951
1942.125,6535
1942.2917,6574
1942.375,6729
1942.4583,6772
1942.5417,6843
1942.625,6781
1942.7083,6872
1942.7917,7006
1942.875,6969
1942.9583,6951
1943.0417,6734
1943.125,6986
1943.2083,6684
1943.2917,6957
1943.375,6665
1943.4583,6765
1943.5417,6804
1943.625,6905
1943.7083,6802
1943.7917,6783
1943.875,6937
1943.9583,6755
1944.125,6827
1944.2083,6916
1944.2917,6718
1944.375,6777
1944.4583,6804
1944.5417,6787
1944.625,6767
1944.7083,6864
1944.7917,6754
1944.875,6983
1944.9583,6864
1945.0417,6794
1945.125,6875
1945.2083,6865
1945.2917,6821
1945.375,6763
1945.4583,6852
1945.5417,6856
1945.625,6890
1945.7083,6800
1945.7917,6884
1945.875,6841
1945.9583,6904
1946.0417,6800
1946.2917,6803
1946.375,6731
1946.4583,6889
1946.5417,6819
1946.625,6852
1946.7083,6937
1946.7917,6768
1946.875,6769
1946.9583,6678
1947.2917,6831
1947.375,6528
1947.4583,6734
1947.5417,6739
1947.625,6685
1947.7083,6870
1947.7917,6647
1947.9583,6901
1948.0417,6882
1948.125,6687
1948.2083,6703
1948.2917,6745
1948.375,6689
1948.4583,6804
1948.5417,6853
1948.625,6876
1948.7083,6981
1948.7917,6902
1948.875,6828
1948.9583,6799
1949.0417,6971
1949.125,6906
1949.2083,6676
1949.2917,6877
1949.375,6715
1949.4583,6765
1949.5417,6777
1949.625,6820
1949.7083,6747
1949.7917,6870
1949.875,6841
1949.9583,7073
1950.0417,6675
1950.125,6911
1950.2083,6760
1950.2917,6880
1950.375,6687
1950.4583,6758
1950.5417,6758
1950.625,6759
1950.7083,6982
1950.7917,6842
1950.875,6849
1950.9583,6781
1951.0417,6821
1951.125,6657
1951.2083,6722
1951.2917,6759
1951.375,6639
1951.4583,6734
1951.5417,6751
1951.625,6794
1951.7083,6822
1951.7917,6642
1951.875,6914
1951.9583,7055
1952.0417,6954
1952.125,6909
1952.2083,6600
1952.2917,6718
1952.375,6752
1952.4583,6843
1952.5417,6788
1952.625,6821
1952.7083,6914
1952.7917,6878
1952.875,6900
1952.9583,6826
1953.0417,6807
1953.125,6842
1953.2083,6675
1953.2917,6682
1953.375,6767
1953.4583,6756
1953.5417,6841
1953.625,6896
1953.7083,6880
1953.7917,6802
1953.875,6833
1953.9583,6778
1954.0417,6714
1954.2083,6690
1954.2917,6690
1954.375,6675
1954.4583,6777
1954.5417,6902
1954.625,6865
1954.7083,6984
1954.7917,6969
1954.875,6824
1954.9583,7082
1955.0417,6727
1955.125,6732
1955.2083,6682
1955.2917,6702
1955.375,6819
1955.4583,6760
1955.5417,6803
1955.625,6802
1955.7083,6921
1955.7917,6987
1955.875,6907
1955.9583,7077
1956.0417,6861
1956.2083,6668
1956.2917,6744
1956.375,6733
1956.4583,6770
1956.5417,6856
1956.625,6907
1956.7083,6792
1956.7917,6909
1956.875,6858
1956.9583,6764
1957.0417,6843
1957.125,6857
1957.2083,6746
1957.2917,6640
1957.375,6681
1957.4583,6741
1957.5417,6793
1957.625,6852
1957.7083,6959
1957.7917,6924
1957.875,6775
1957.9583,6822
1958.0417,6858
1958.125,6953
1958.2917,6687
1958.375,6701
1958.4583,6715
1958.5417,6848
1958.625,6823
1958.7083,6812
1958.7917,6928
1958.875,6727
1958.9583,6886
1959.0417,7035
1959.2083,6628
1959.2917,6768
1959.375,6646
1959.4583,6765
1959.5417,6808
1959.625,6800
1959.7083,6773
1959.7917,6868
1959.875,6671
1959.9583,6696
1960.0417,6798
1960.125,6721
1960.2083,6498
1960.2917,6747
1960.375,6708
1960.4583,6795
1960.5417,6870
1960.625,6927
1960.7083,6841
1960.7917,6852
1960.875,7009
1960.9583,6927
1961.0417,6726
1961.125,6893
1961.2083,7028
1961.2917,6773
1961.375,6899
1961.4583,6918
1961.5417,7015
1961.625,6998
1961.7083,6910
1961.7917,6911
1961.875,6903
1961.9583,6931
1962.0417,7053
1962.125,6920
1962.2083,6720
1962.2917,6761
1962.375,6820
1962.4583,6817
1962.5417,6831
1962.625,6924
1962.7083,6846
1962.7917,6855
1962.875,6712
1962.9583,6804
1963.125,6558
1963.2083,6652
1963.2917,6682
1963.375,6737
1963.4583,6825
1963.5417,6806
1963.625,6908
1963.7083,6934
1963.7917,6972
1963.875,7130
1963.9583,6841
1964.0417,6785
1964.125,6839
1964.2917,6701
1964.375,6788
1964.4583,6829
1964.5417,6874
1964.625,6865
1964.7083,6932
1964.7917,6781
1964.875,6977
1964.9583,6910
1965.0417,6885
1965.125,6840
1965.2083,6663
1965.2917,6724
1965.375,6702
1965.4583,6793
1965.5417,6885
1965.625,6778
1965.7083,6831
1965.7917,6824
1965.875,6874
1965.9583,7077
1966.125,6787
1966.2083,6984
1966.2917,6658
1966.375,6768
1966.4583,6863
1966.5417,6918
1966.625,6892
1966.7083,6950
1966.7917,6829
1966.875,6846
1966.9583,7085
1967.0417,6921
1967.125,7039
1967.2083,7116
1967.375,6755
1967.4583,6782
1967.5417,6770
1967.625,6855
1967.7083,6872
1967.875,6885
1968.0417,7018
1968.125,6740
1968.2083,6971
1968.2917,6774
1968.375,6748
1968.4583,6817
1968.5417,6820
1968.625,6864
1968.7083,6890
1968.7917,7009
1968.875,6824
1968.9583,6834
1969.0417,6831
1969.125,6797
1969.2917,6857
1969.375,6781
1969.4583,6835
1969.5417,6856
1969.625,6915
1969.7083,6898
1969.7917,7000
1970.0417,6618
1970.125,6860
1970.2083,6920
1970.2917,6951
1970.375,6767
1970.4583,6789
1970.5417,6976
1970.625,6827
1970.7083,6917
1970.7917,7084
1970.875,7065
1970.9583,6846
1971.0417,6867
1971.125,6873
1971.2083,6757
1971.2917,6739
1971.375,6719
1971.4583,6862
1971.5417,6852
1971.625,6868
1971.7083,6825
1971.7917,6888
1971.875,7072
1971.9583,6876
1972.125,6601
1972.2083,6643
1972.2917,6800
1972.375,6790
1972.4583,6827
1972.5417,6805
1972.625,6828
1972.7083,6815
1972.7917,6824
1972.875,7050
1972.9583,6793
1973.0417,6694
1973.125,6857
1973.2083,6713
1973.2917,6865
1973.375,6705
1973.4583,6721
1973.5417,6866
1973.625,6781
1973.7083,6869
1973.7917,6841
1973.9583,7095
1974.0417,6843
1974.125,6786
1974.2917,6618
1974.375,6741
1974.4583,6838
1974.5417,6961
1974.625,6794
1974.7083,6935
1974.7917,6972
1974.875,6959
1975.0417,7073
1975.2083,6757
1975.2917,6734
1975.375,6755
1975.4583,6773
1975.5417,6825
1975.625,6825
1975.7083,6931
1975.7917,6848
1975.875,6873
1975.9583,6958
1976.0417,7144
1976.2083,6608
1976.2917,6704
1976.375,6730
1976.4583,6772
1976.5417,6834
1976.625,6779
1976.7083,6803
1976.7917,6812
1976.875,6928
1976.9583,6863
1977.0417,6804
1977.125,6819
1977.2083,6807
1977.2917,6929
1977.375,6650
1977.4583,6779
1977.5417,6825
1977.625,6718
1977.7083,6846
1977.7917,6888
1978.0417,6908
1978.125,6614
1978.2083,6956
1978.2917,6660
1978.375,6721
1978.4583,6850
1978.5417,6854
1978.625,6894
1978.7083,7089
1978.7917,6905
1978.875,6985
1979.0417,6667
1979.125,6648
1979.2083,6856
1979.2917,6777
1979.375,6752
1979.4583,6792
1979.5417,6901
1979.625,6888
1979.7083,6930
1979.7917,6655
1979.875,6988
1979.9583,7018
1980.0417,6708
1980.125,6692
1980.2083,6657
1980.2917,6900
1980.375,6681
1980.4583,6894
1980.5417,6919
1980.625,6996
1980.7083,6957
1980.7917,7057
1980.875,6884
1980.9583,7068
1981.0417,7044
1981.125,6796
1981.2083,6881
1981.2917,6701
1981.375,6820
1981.4583,6919
1981.5417,6895
1981.625,6923
1981.7083,6857
1981.7917,7110
1981.9583,6954
1982.0417,6897
1982.125,6742
1982.2083,6902
1982.2917,6958
1982.375,6807
1982.4583,6852
1982.5417,6824
1982.625,6945
1982.7083,6892
1982.7917,6888
1982.875,7027
1982.9583,7076
1983.2083,6916
1983.2917,6864
1983.375,6893
1983.4583,6828
1983.5417,6837
1983.625,6837
1983.7083,7013
1983.7917,7146
1983.875,7002
1983.9583,6969
1984.0417,7120
1984.2083,6611
1984.2917,6712
1984.375,6796
1984.4583,6928
1984.5417,6870
1984.625,6806
1984.7083,6967
1984.7917,7059
1984.875,6852
1984.9583,6832
1985.0417,6785
1985.125,6670
1985.2083,6772
1985.2917,6928
1985.375,6764
1985.4583,6889
1985.5417,6888
1985.625,6935
1985.7083,6965
1985.7917,6835
1985.875,6980
1985.9583,7018
1986.0417,6985
1986.2917,6699
1986.375,6791
1986.4583,6797
1986.5417,6886
1986.625,6859
1986.7083,6887
1986.7917,7003
1986.875,6972
1986.9583,7069
1987.125,6786
1987.2083,6690
1987.2917,6729
1987.375,6846
1987.4583,6850
1987.5417,6889
1987.625,6966
1987.7083,7023
1987.7917,6821
1987.875,6999
1987.9583,6929
1988.0417,7007
1988.125,7124
1988.2083,6986
1988.375,6734
1988.4583,6856
1988.5417,6917
1988.625,6928
1988.7083,7012
1988.7917,6857
1988.875,6964
1988.9583,7102
1989.0417,6954
1989.125,7048
1989.2083,6989
1989.375,6766
1989.4583,6800
1989.5417,6844
1989.625,6968
1989.7083,6861
1989.7917,7014
1989.875,6892
1989.9583,6984
1990.0417,7071
1990.2083,7063
1990.375,6716
1990.4583,6819
1990.5417,6884
1990.625,6900
1990.7083,7020
1990.7917,6922
1990.875,6964
1990.9583,6949
1991.0417,6875
1991.2083,6677
1991.2917,6763
1991.375,6768
1991.4583,6880
1991.5417,6788
1991.625,6865
1991.7083,6922
1991.7917,6914
1991.875,6959
1991.9583,6991
1992.0417,6843
1992.125,6926
1992.2083,6925
1992.2917,6855
1992.375,6739
1992.4583,6788
1992.5417,6866
1992.625,6930
1992.7083,6858
1992.7917,6836
1992.9583,6885
1993.125,6908
1993.2083,6703
1993.2917,6706
1993.375,6760
1993.4583,6862
1993.5417,6931
1993.625,6926
1993.7083,6851
1993.7917,6838
1993.875,6707
1994.2917,6819
1994.375,6828
1994.4583,6915
1994.5417,6794
1994.625,6945
1994.7083,6986
1994.7917,6869
1994.875,6983
1994.9583,7100
1995.0417,7081
1995.2083,7044
1995.2917,6865
1995.375,6807
1995.4583,6889
1995.5417,6850
1995.625,6885
1995.7083,6990
1995.7917,6950
1995.875,6954
1995.9583,6673
1996.125,6653
1996.2083,6574
1996.2917,6718
1996.375,6821
1996.4583,6870
1996.5417,6873
1996.625,6830
1996.7083,6840
1996.7917,6955
1996.875,7098
1996.9583,6785
1997.0417,6708
1997.2083,6886
1997.2917,6888
1997.375,6803
1997.4583,6843
1997.5417,6818
1997.625,6828
1997.7083,6955
1997.7917,7056
1997.9583,6858
1998.0417,7009
1998.125,7032
1998.2083,6865
1998.2917,6865
1998.375,6804
1998.4583,6874
1998.5417,7018
1998.625,6967
1998.7083,6913
1998.875,6924
1998.9583,7003
1999.0417,6996
1999.2917,6835
1999.375,6781
1999.4583,6848
1999.5417,6874
1999.625,6914
1999.7083,6944
1999.7917,6917
1999.875,6959
2000.0417,7062
2000.125,7104
2000.2083,6983
2000.2917,6817
2000.375,6838
2000.4583,6887
2000.5417,6938
2000.625,6860
2000.7083,6861
2000.7917,6952
2000.875,6921
2000.9583,7057
2001.0417,6877
2001.125,6840
2001.2083,6811
2001.2917,6916
2001.375,6825
2001.4583,6914
2001.5417,6901
2001.625,6939
2001.7917,7089
2001.875,7125
2001.9583,7016
2002.0417,7066
2002.2917,6816
2002.375,6846
2002.4583,6938
2002.5417,6931
2002.625,6935
2002.7083,6926
2002.7917,6991
2002.875,6900
2002.9583,6647
2003.2083,6789
2003.2917,6808
2003.375,6861
2003.4583,6922
2003.5417,6913
2003.625,6948
2003.7083,6934
2003.7917,6961
2003.875,6862
2003.9583,7047
2004.0417,6991
2004.125,7038
2004.2083,6803
2004.2917,6762
2004.375,6862
2004.4583,6944
2004.5417,6918
2004.625,6955
2004.7083,7068
2004.7917,6885
2004.875,7035
2004.9583,7015
2005.2083,6780
2005.2917,6783
2005.375,6855
2005.4583,6846
2005.5417,6943
2005.625,6957
2005.7083,6914
2005.7917,6839
2005.875,7015
2005.9583,6927
2006.0417,6683
2006.125,6818
2006.2083,6722
2006.2917,6907
2006.375,6838
2006.4583,6800
2006.5417,6810
2006.625,6993
2006.7083,6962
2006.7917,7049
