timestamp,actual,predicted
2022.6092,1361.3323,1361.3036
2022.6119,1361.2964,1361.3058
2022.6146,1361.2401,1361.2834
2022.6174,1361.1858,1361.198
2022.6201,1361.1157,1361.137
2022.6229,1361.0685,1361.0547
2022.6256,1361.0603,1361.035
2022.6283,1361.0673,1361.0754
2022.6311,1361.0753,1361.1
2022.6338,1361.0607,1361.0973
2022.6366,1361.02,1361.047
2022.6393,1360.9404,1360.9745
2022.642,1360.8546,1360.8645
2022.6448,1360.7692,1360.782
2022.6475,1360.7311,1360.713
2022.6502,1360.7351,1360.7272
2022.653,1360.7549,1360.7803
2022.6557,1360.7571,1360.8083
2022.6585,1360.7592,1360.7754
2022.6612,1360.7539,1360.7567
2022.6639,1360.8171,1360.7471
2022.6667,1360.9661,1360.88
2022.6694,1361.1156,1361.1277
2022.6721,1361.2439,1361.2789
2022.6749,1361.3203,1361.3428
2022.6776,1361.3745,1361.3408
2022.6804,1361.4181,1361.3713
2022.6831,1361.4646,1361.4292
2022.6858,1361.4958,1361.4965
2022.6886,1361.5099,1361.5175
2022.6913,1361.4899,1361.5062
2022.694,1361.4154,1361.4502
2022.6968,1361.3435,1361.327
2022.6995,1361.3031,1361.2671
2022.7023,1361.3054,1361.2742
2022.705,1361.3037,1361.3309
2022.7077,1361.2289,1361.324
2022.7105,1361.156,1361.1582
2022.7132,1361.102,1361.0697
2022.7159,1361.0887,1361.0525
2022.7187,1361.0923,1361.1027
2022.7214,1361.0707,1361.1332
2022.7242,1361.0503,1361.0692
2022.7269,1361.0035,1361.0264
2022.7296,1360.9633,1360.957
2022.7324,1360.958,1360.9305
2022.7351,1361.0184,1360.973
2022.7379,1361.0797,1361.1017
2022.7406,1361.1984,1361.1649
2022.7433,1361.3164,1361.3058
2022.7461,1361.3456,1361.4149
2022.7488,1361.3772,1361.3456
2022.7515,1361.2926,1361.3662
2022.7543,1361.1895,1361.1896
2022.757,1361.1154,1361.0754
2022.7598,1361.0936,1361.0558
2022.7625,1361.0731,1361.104
2022.7652,1361.1155,1361.0951
2022.768,1361.1532,1361.1694
2022.7707,1361.178,1361.1954
2022.7734,1361.2546,1361.192
2022.7762,1361.3333,1361.3125
2022.7789,1361.4763,1361.4034
2022.7817,1361.5547,1361.5985
2022.7844,1361.5574,1361.6151
2022.7871,1361.4874,1361.518
2022.7899,1361.4205,1361.3806
2022.7926,1361.3524,1361.3351
2022.7953,1361.3193,1361.3011
2022.7981,1361.3245,1361.3157
2022.8008,1361.3339,1361.3547
2022.8036,1361.3456,1361.3547
2022.8063,1361.3279,1361.3534
2022.809,1361.2946,1361.302
2022.8118,1361.2721,1361.2533
2022.8145,1361.2784,1361.2507
2022.8172,1361.2866,1361.2947
2022.82,1361.3022,1361.3102
2022.8227,1361.3314,1361.322
2022.8255,1361.3623,1361.3552
2022.8282,1361.3955,1361.3862
2022.8309,1361.4236,1361.4218
2022.8337,1361.4694,1361.4435
2022.8364,1361.5361,1361.5029
2022.8392,1361.5762,1361.5901
2022.8419,1361.6198,1361.6035
2022.8446,1361.5947,1361.6404
2022.8474,1361.4939,1361.551
2022.8501,1361.3528,1361.3779
2022.8528,1361.237,1361.2095
2022.8556,1361.1233,1361.1381
2022.8583,1361.0488,1361.0541
2022.8611,1361.0027,1361.021
2022.8638,1361.0024,1360.9973
2022.8665,1361.0458,1361.0283
2022.8693,1361.0902,1361.1089
2022.872,1361.1511,1361.1477
2022.8747,1361.2039,1361.207
2022.8775,1361.2346,1361.2456
2022.8802,1361.1991,1361.2509
2022.883,1361.1652,1361.1528
2022.8857,1361.0984,1361.1187
2022.8884,1361.051,1361.0399
2022.8912,1361.0388,1361.019
2022.8939,1361.112,1361.0521
2022.8966,1361.1865,1361.2042
2022.8994,1361.3026,1361.2821
2022.9021,1361.3866,1361.403
2022.9049,1361.3623,1361.4443
2022.9076,1361.3407,1361.3022
2022.9103,1361.2827,1361.2819
2022.9131,1361.2524,1361.2175
2022.9158,1361.2418,1361.2328
2022.9185,1361.171,1361.2555
2022.9213,1361.1017,1361.1189
2022.924,1360.9371,1361.0315
