,Model Name,Train RMSE,Train MAE,Train MSE,Train R^2,Validation RMSE,Validation MAE,Validation MSE,Validation R^2,Test RMSE,Test MAE,Test MSE,Test R^2,Training Time (s),Learning Rate,Hidden Dim,Num Layers,Dropout,Window Size,Patience,Delta
TCN_20250304_220945,TCN,3.4498483983883688,2.7103219032287598,11.901453971862793,0.9943943619728088,3.416285718444285,2.6398327350616455,11.671008110046387,0.9945842027664185,9.918476057205728,8.36874771118164,98.37616729736328,0.6414713859558105,47.734798431396484,0.001,32,2,0.1,20,100,0
TCN_20250304_221134,TCN,3.3147345149778067,2.6121842861175537,10.987464904785156,0.9948248863220215,3.389273519176782,2.617648124694824,11.487174987792969,0.9946695566177368,7.256475779251474,6.034595489501953,52.65644073486328,0.808095395565033,106.34604597091675,0.001,32,2,0.1,20,100,0
TCN_20250304_221401,TCN,3.274857606777053,2.5763072967529297,10.724692344665527,0.9949486255645752,3.3901205083082298,2.6084892749786377,11.49291706085205,0.9946668744087219,12.009762289853578,10.515247344970703,144.23439025878906,0.4743427038192749,143.76005029678345,0.001,32,2,0.1,20,100,0
TCN_20250304_221514,TCN,3.3206601667704976,2.6149349212646484,11.02678394317627,0.9948063492774963,3.3936711704379263,2.606811761856079,11.517004013061523,0.9946556687355042,18.534671769880024,15.421077728271484,343.5340576171875,-0.25199806690216064,69.66362500190735,0.001,32,2,0.1,20,100,0
Transformer_20250304_233016,Transformer,4.389358066209504,3.4775471687316895,19.266464233398438,0.9909254312515259,5.480392705671194,4.220183372497559,30.034704208374023,0.9860628247261047,26.850219089175393,22.408170700073242,720.9342651367188,-1.627420425415039,4456.683667898178,0.001,32,2,0.2,20,250,0
Transformer_20250305_003059,Transformer,5.0613432139496854,3.9565489292144775,25.61719512939453,0.9879342317581177,4.960366524105532,3.9815313816070557,24.605236053466797,0.9885822534561157,25.385700243551856,21.153533935546875,644.4337768554688,-1.3486168384552002,3638.9983637332916,0.001,32,2,0.2,20,250,0
Transformer_20250305_012028,Transformer,5.5151373888127635,4.356817722320557,30.41674041748047,0.9856736063957214,5.6626180135458535,4.472667217254639,32.065242767333984,0.9851205945014954,26.61091291247176,22.505170822143555,708.1406860351562,-1.5807945728302002,2965.568902492523,0.001,32,2,0.2,20,250,0
Transformer_20250305_014546,Transformer,6.520233939250845,5.101165771484375,42.513450622558594,0.9799760580062866,6.1827923369253615,4.941462516784668,38.22692108154297,0.9822613596916199,18.295474734260193,15.083564758300781,334.7243957519531,-0.21989166736602783,1514.737179517746,0.001,32,2,0.2,20,250,0
Transformer_20250305_022140,Transformer,5.809627028031488,4.528863430023193,33.751766204833984,0.9841028451919556,5.1507133582402815,4.013617992401123,26.529848098754883,0.987689197063446,20.180005834935898,16.76152801513672,407.2326354980469,-0.48414552211761475,2149.911949634552,0.001,32,2,0.2,20,250,0
Transformer_20250305_030118,Transformer,5.541094623764929,4.327720642089844,30.7037296295166,0.9855384826660156,5.947528922229948,4.706605911254883,35.37310028076172,0.9835855960845947,23.064924076533398,19.025426864624023,531.99072265625,-0.9388219118118286,2374.8634996414185,0.001,32,2,0.2,20,250,0
Transformer_20250305_041249,Transformer,4.621833954810034,3.627462863922119,21.36134910583496,0.9899387359619141,5.169899554577337,4.128380298614502,26.727861404418945,0.9875972867012024,23.702656348366315,19.43809700012207,561.81591796875,-1.0475189685821533,4287.423743486404,0.001,32,2,0.2,20,250,0
Transformer_20250305_055341,Transformer,4.594506856629472,3.620823860168457,21.109493255615234,0.9900573492050171,5.6239967299190035,4.473880290985107,31.62933921813965,0.9853228330612183,34.80765366850012,27.90431785583496,1211.57275390625,-3.4155354499816895,6047.9755964279175,0.001,32,2,0.2,20,250,0
