,Model Name,Train RMSE,Train MAE,Train MSE,Train R^2,Validation RMSE,Validation MAE,Validation MSE,Validation R^2,Test RMSE,Test MAE,Test MSE,Test R^2,Training Time (s),Learning Rate,Hidden Dim,Num Layers,Dropout,Window Size,Patience,Delta
LSTM_Attention_20250301_150543,LSTM_Attention,44.77717728339684,34.16797637939453,2004.99560546875,0.800256073474884,50.107460206633654,37.5497932434082,2510.757568359375,0.719940185546875,113.13861278593176,88.29427337646484,12800.345703125,-0.5806560516357422,87.54012155532837,0.001,32,2,0.2,20,250,0
VanillaLSTM_20250301_150821,VanillaLSTM,43.04465171209572,32.61034393310547,1852.842041015625,0.8154140710830688,45.26480248217151,33.7456169128418,2048.90234375,0.771457314491272,47.58954091286104,35.616085052490234,2264.764404296875,0.7203346490859985,12.74527883529663,0.001,32,2,0.2,20,250,0
ConvLSTM_20250301_150859,ConvLSTM,42.28529175064895,32.02663803100586,1788.0458984375,0.8218692541122437,45.22657262156563,34.023067474365234,2045.44287109375,0.7718431949615479,48.774620685832865,36.55369186401367,2378.963623046875,0.7062326669692993,1.7856948375701904,0.001,32,2,0.2,20,250,0
ConvGRU_20250301_152117,ConvGRU,42.04549015277976,31.87851905822754,1767.8232421875,0.8238838911056519,46.25320406975878,34.59407043457031,2139.35888671875,0.7613674402236938,48.180056777610275,35.557159423828125,2321.31787109375,0.7133510708808899,12.888992071151733,0.001,32,2,0.2,20,250,0
ConvGRU_20250301_152311,ConvGRU,42.00328123808454,32.06552505493164,1764.275634765625,0.8242373466491699,45.09672493218743,33.899383544921875,2033.714599609375,0.7731514573097229,48.47464049876363,35.6645393371582,2349.790771484375,0.7098350524902344,11.556292057037354,0.001,32,2,0.2,20,250,0
GRUwGNN_20250301_154053,GRUwGNN,41.38847348362449,31.539871215820312,1713.0057373046875,0.8293449878692627,45.40939532292574,33.986549377441406,2062.01318359375,0.7699949145317078,91.65186551906622,61.594276428222656,8400.064453125,-0.037285566329956055,26.61874747276306,0.001,32,2,0.2,20,250,0
GRUwGNN_20250301_154143,GRUwGNN,41.48733216861202,31.326004028320312,1721.19873046875,0.8285287618637085,45.67232669550841,33.84356689453125,2085.96142578125,0.7673236131668091,57.460631053737565,42.02503967285156,3301.72412109375,0.59228515625,25.26975107192993,0.001,32,2,0.2,20,250,0
GRUwGNN_20250301_154242,GRUwGNN,41.185613516641794,30.983081817626953,1696.2547607421875,0.8310137987136841,46.144762555767095,34.932132720947266,2129.339111328125,0.762485146522522,50.15112658801271,37.15033721923828,2515.135498046875,0.6894174218177795,27.256304025650024,0.001,32,2,0.2,20,250,0
GRUwGNN_20250301_154344,GRUwGNN,42.95000301267815,32.18779373168945,1844.7027587890625,0.8162249326705933,44.26656535799621,33.04945373535156,1959.52880859375,0.7814264297485352,48.50085574309488,35.12370300292969,2352.3330078125,0.7095211744308472,27.226598978042603,0.001,32,2,0.2,20,250,0
GRUwGNN_20250301_154539,GRUwGNN,41.73571606091343,31.636268615722656,1741.8699951171875,0.8264694213867188,44.130791216546726,32.996421813964844,1947.5267333984375,0.7827651500701904,48.21744114798477,34.707916259765625,2324.921630859375,0.7129060626029968,26.537384748458862,0.001,32,2,0.2,20,250,0
GRU_ekanwGNN_20250301_154835,GRU_ekanwGNN,42.391342027662326,32.0662841796875,1797.02587890625,0.8209746479988098,45.98239196794518,34.51854705810547,2114.38037109375,0.7641536593437195,49.79757853676221,36.32728958129883,2479.798828125,0.6937809586524963,30.27524995803833,0.001,32,2,0.2,20,250,0
GRU_ekanwGNN_20250301_154918,GRU_ekanwGNN,42.47570680924936,32.135128021240234,1804.1856689453125,0.8202613592147827,45.71747103901445,34.4187126159668,2090.087158203125,0.7668634057044983,48.51571306352716,35.304298400878906,2353.7744140625,0.7093431949615479,30.611664056777954,0.001,32,2,0.2,20,250,0
GRU_ekanwGNN_20250301_155006,GRU_ekanwGNN,42.01417375003866,31.617759704589844,1765.1907958984375,0.8241461515426636,45.43942621862786,33.96629333496094,2064.741455078125,0.7696905732154846,49.478735469612346,35.7411994934082,2448.145263671875,0.6976897716522217,30.476073026657104,0.001,32,2,0.2,20,250,0
GRU_ekanwGNN_20250301_155053,GRU_ekanwGNN,38.58421567453134,29.50458526611328,1488.74169921875,0.8516868948936462,50.152942355889,37.19901657104492,2515.317626953125,0.7194315195083618,47.58289949360747,35.13228225708008,2264.13232421875,0.7204126715660095,33.356982469558716,0.001,32,2,0.2,20,250,0
Transformer_20250301_155722,Transformer,52.0060984630048,39.70750427246094,2704.63427734375,0.7305558919906616,50.681534309074294,39.735321044921875,2568.617919921875,0.7134861946105957,52.83012141303127,39.05951690673828,2791.021728515625,0.6553494930267334,280.4443109035492,0.001,32,2,0.2,20,250,0
Transformer_ekan_20250301_160151,Transformer_ekan,48.41809339057172,37.20115280151367,2344.311767578125,0.7664523124694824,50.40127067780633,39.12302780151367,2540.2880859375,0.7166461944580078,56.01676254075092,41.99173355102539,3137.877685546875,0.6125178337097168,204.63213109970093,0.001,32,2,0.2,20,250,0
Transformer_ekan_20250301_160542,Transformer_ekan,49.261320875256686,37.65253829956055,2426.677734375,0.7582467794418335,50.69223207334754,39.666351318359375,2569.702392578125,0.7133652567863464,55.779967597303695,41.62770462036133,3111.40478515625,0.6157868504524231,210.87061619758606,0.001,32,2,0.2,20,250,0
Transformer_ekan_20250301_162534,Transformer_ekan,49.44625248454755,38.00664138793945,2444.931884765625,0.7565835118293762,50.96562921546368,39.41021728515625,2597.495361328125,0.7346926927566528,62.681864309234214,47.38413619995117,3929.01611328125,0.5188578367233276,1150.6045124530792,0.001,32,2,0.2,60,250,0
Transformer_ekan_20250301_162937,Transformer_ekan,49.630266270473754,37.8997688293457,2463.163330078125,0.7546119689941406,51.78785036388844,41.40727996826172,2681.9814453125,0.7008411884307861,56.606545782185165,41.824710845947266,3204.301025390625,0.6043155193328857,202.9007019996643,0.001,32,2,0.2,20,250,0
Transformer_ekan_20250301_163318,Transformer_ekan,49.728930741916976,38.32506561279297,2472.966552734375,0.7536353468894958,49.78694353034488,38.63029861450195,2478.73974609375,0.7235115766525269,56.74498360262782,41.86516189575195,3219.9931640625,0.6023777723312378,203.7274296283722,0.001,32,2,0.2,20,250,0
Transformer_ekan_20250301_164020,Transformer_ekan,47.41699676309382,36.13999938964844,2248.37158203125,0.7760101556777954,50.81435219179592,38.388912200927734,2582.098388671875,0.7119825482368469,50.54090237124778,37.957115173339844,2554.3828125,0.6845709681510925,405.7913022041321,0.001,32,2,0.2,20,250,0
LSTM_20250302_095118,LSTM,41.37952999889785,31.322006225585938,1712.2655029296875,0.8294187784194946,44.838080815428945,33.31492614746094,2010.4534912109375,0.7757461071014404,46.75435255055806,34.11066818237305,2185.969482421875,0.7300646305084229,14.241277694702148,0.001,32,2,0.2,20,250,0
LSTM_20250302_095201,LSTM,42.14784449884048,32.11792755126953,1776.4407958984375,0.8230254054069519,44.980782029141345,33.829559326171875,2023.270751953125,0.7743164300918579,47.62836017919759,35.05814743041992,2268.460693359375,0.7198781967163086,14.257697105407715,0.001,32,2,0.2,20,250,0
GRU_20250302_095329,GRU,42.47784779989374,32.295997619628906,1804.3675537109375,0.820243239402771,45.62038985698308,34.29730224609375,2081.219970703125,0.7678524851799011,46.47384071812604,33.82415008544922,2159.81787109375,0.7332940101623535,25.400089740753174,0.001,32,2,0.2,20,250,0
GRU_20250302_095406,GRU,109.72538964529814,81.52619171142578,12039.6611328125,0.41435688734054565,119.77865735519204,89.86634826660156,14346.9267578125,0.23319822549819946,122.6286155175455,87.45516967773438,15037.77734375,0.17324888706207275,14.09633755683899,0.001,32,2,0.2,20,250,0
GRU_20250302_095527,GRU,43.266065138606315,32.42340087890625,1871.952392578125,0.8135102391242981,45.01302301791047,33.4667854309082,2026.1722412109375,0.7739927768707275,46.75729231644648,34.10788345336914,2186.244384765625,0.7300306558609009,24.009384155273438,0.001,32,2,0.2,20,250,0
GRU_20250302_095620,GRU,66.10364878592179,49.60389709472656,4369.6923828125,0.6571084260940552,68.25861681525087,50.14131164550781,4659.23876953125,0.5934497117996216,72.05382306282401,52.64224624633789,5191.75341796875,0.515874445438385,13.792105913162231,0.001,32,2,0.2,20,250,0
